0010011,0,1,1,1,0,0,0,0,0,00,0,0,0,0,0
0010011,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0
0010011,0,0,0,0,1,1,0,0,0,00,0,0,1,0,0
0000011,0,1,1,1,0,0,0,0,0,00,0,0,0,0,0
0000011,0,0,0,0,0,0,1,0,0,00,0,1,0,0,0
0000011,0,0,0,0,1,1,0,0,0,00,0,0,0,0,0
0100011,0,1,1,1,0,0,0,0,0,00,0,0,0,0,0
0100011,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0
0100011,0,0,0,0,0,0,0,0,0,00,1,0,0,0,1
1100011,0,1,1,1,0,0,0,0,0,00,0,0,0,0,0
1100011,0,0,0,0,0,0,0,0,1,01,0,0,0,1,0
1100011,1,1,1,0,0,0,0,0,0,01,0,0,1,1,0
0110111,0,1,1,1,0,0,0,0,0,00,0,0,0,0,0
0110111,0,0,0,0,0,0,1,0,0,00,0,0,0,0,0
0110111,0,1,0,0,1,1,0,0,0,00,0,0,1,0,0
1101111,0,1,1,1,0,0,0,0,0,00,0,0,0,0,0
1101111,0,0,0,0,0,1,1,1,0,10,0,0,0,0,0
1101111,0,0,1,0,0,1,0,0,0,00,0,0,0,0,0
